ID,LOCATION,ADDRESS,LAT,LONG
SR002982,Sam's Club #6330,1572 N Dupont Highway Dover DE 19901,39.193467,-75.5522479
83730226,Klondike Kates,158 E Main St Newark DE 19711,39.6837323,-75.7469155
,16th & Chestnut Banking Office,1600 Chestnut St Philadelphia PA 19103,39.9508792,-75.167409
W1089078,Shoprite at Stanton #538,1600 West Newport Pike Wilmington DE 19804,39.7148676,-75.6302649
N1080686,Walgreen's - Naamans Road #12695,1601 Naamans Road Wilmington DE 19810,39.8228399,-75.4848101
83730721,Wilson Baker - Country Corners #7,1606 Bay Rd Milford DE 19963,38.9616711,-75.4292378
P328355,BAGELS And BEYOND 1,1616 Long Beach Blvd Surf City NJ 08008,39.6652012,-74.1629662
,Oaks Banking Office,1630 Egypt Road Oaks PA 19456,40.134448,-75.450312
,Lumberton Banking Office ,1636 Eayrestown Rd Lumberton NJ 08048,39.9817862,-74.7837416
P333373,HAIR APROPOS,1700 Horizon Dr Chalfont PA 18914,40.2604666,-75.2182787
,Concord Banking Office,1700 Rocky Run Parkway Wilmington DE 19803,39.8263781,-75.5458202
83730189,Kellys Logan House,1701 Delaware Avenue Wilmington DE 19806,39.7582504,-75.5623765
83730529,Heritages #35,1701 Williamstown Erial Rd Sicklerville NJ 08018,39.7663898,-75.0042948
N1080676,Walgreen's - Chestnut Run #11069,1710 Faulkland Road Wilmington DE 19805,39.7473636,-75.6119886
83730415,Wilson Baker - North Dover Tiger Mart,1710 N DuPont Hwy Dover DE 19901,39.1979249,-75.55353
83730635,Crimson Hair Studio,"1710-12 Sansome Street, 2nd Floor Philadelphia PA 19103",39.9505881,-75.1693965
,Brandywine Banking Office,1712 Foulk Road Wilmington DE 19803,39.8075864,-75.5152273
P328423,EL PRIMO PRODUCE JUNCTION,1719 Markley St Norristown PA 19401,40.1324061,-75.3350242
,Feasterville Banking Office ,172 West Street Road Feasterville PA 19053,40.1533777,-75.0076581
N1080700,Walgreen's - Lewes #12752,17239 Five Points Sq Lewes DE 19958,38.7487232,-75.1732402
N1080698,Walgreen's - Harrington #11756,17248 Dupont Highway Harrington DE 19952,38.9227932,-75.5674248
83730195,Grotto Pizza - Lewes,17467 Shady Road Lewes DE 19958,38.7480358,-75.1650721
P333376,U MERION TOWNSHIP BLDG,175 W Valley Forge Rd King of Prussia PA 19406,40.1018097,-75.3716413
83730614,Uncle Willies - Lewes BP #9,17581 Coastal Highway Lewes DE 19958,38.7489583,-75.171242
83730411,Bling Salon & Spa,17644 Coastal Hwy Unit 4 Lewes DE 19958,38.747927,-75.168294
83730420,Wilson Baker - Lewes Baker's Exxon,17921 Coastal Hwy Lewes DE 19958,38.7481955,-75.1591896
83730230,University of Delaware-Smith Hall,18 Amstel Ave Newark DE 19713,39.6805816,-75.7542383
83730621,Uncle Willies - Selbyville BP #6,18 North DuPont Highway Selbyville DE 19975,38.4603917,-75.2207437
,Northern Liberties Banking Office,180 W. Girard Avenue Philadelphia PA 19123,39.9684394,-75.1390321
83730418,Wilson Baker - Ellendale Exxon,18005 Ellendale Greenwood Hwy Ellendale DE 19941,38.8070575,-75.422697
N1080712,Walgreen's - Kent Island -Chester #11283,1802 Main Street Chester MD 21619,38.9734387,-76.2796358
83730145,Bottle & Cork #1,1807 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
83730117,Bottle & Cork #2,1807 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
83730726,Bottle & Cork #3,1807 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
83730197,Grotto Pizza - Wilmington,1819 Pennsylvania Ave Wilmington DE 19806,39.7559293,-75.5664698
P328409,DAISY HILL MARKET,1848 E Susquehanna St Allentown PA 18103,40.5944003,-75.4128863
P355139,GOLDEN NUGGET ANTIQUE FLEA MKT #1,1850 River Rd Lambertville NJ 08530,40.3403755,-74.9369279
P355141,GOLDEN NUGGET ANTIQUE FLEA MKT #2,1850 River Rd Lambertville NJ 08530,40.3403755,-74.9369279
83730611,Uncle Willies - Bridgeville BP #510,18705 Sussex Highway Bridgeville DE 19933,38.7224152,-75.5896914
83730399,Buffalo Wild Wings - Bear,1887 Pulaski Hwy Bear DE 19702,39.6105721,-75.7074328
SR002983,Walmart #2419,18922 Rehoboth Mall Blvd Rehoboth Beach DE 19971,38.7273667,-75.1324645
N1080707,Walgreen's - Rehoboth Beach #11021,18993 Munchy Branch Rd Rehoboth Beach DE 19971,38.7240425,-75.1225668
83730638,Shoprite at Newark #580,19 Chestnut Hill Road Newark DE 19713,39.6554667,-75.7516573
P328456,HUDSON HOUSE,19 E 13th St Long Beach Township NJ 08008,39.5715891,-74.2330414
N1080665,Walgreen's - Brookside Plaza #11066,19 Marrows Road Newark DE 19713,39.6641291,-75.7257419
P327825,Tower Theater -1st Flr,19 S 69th St Upper Darby PA 19082,39.9610648,-75.2585395
N1080644,Walgreen's - Chadds Ford #12492,190 Wilmington West Chester Pike Chadds Ford PA 19317,39.8485304,-75.5385422
,Passyunk Banking Office,1901 E Passyunk Avenue Philadelphia PA 19148,39.9264096,-75.1672894
,Cherry Hill East Banking Office,1901 Route 70 E Cherry Hill NJ 08003,39.9022085,-74.9663329
P328495,MERCHANTS SQUARE,1901 S 12th St Allentown PA 18103,40.5769925,-75.4755044
83730480,Wilmington Flea Market,1902B Maryland Avenue Wilmington DE 19805,39.7324339,-75.5755478
83730198,Jimmy O LLC dba Woody East Coast Bar,1904 Highway One Dewey Beach DE 19971,38.7026621,-75.0764273
N1080678,Walgreen's - Maryland Avenue #11011,1908 Maryland Avenue Wilmington DE 19805,39.7333603,-75.5758873
P328541,Residence Inn,191 Washington St Conshohocken PA 19428,40.071021,-75.3051847
83730115,Jimmy''s Grill,1911 Costal Highway Dewey Beach DE 19971,38.6947213,-75.0754191
P328389,CAVANAUGHS RITTENHOUSE,1913 Sansom St Philadelphia PA 19103,39.9512838,-75.1726397
,Rehoboth Banking Office,19335 Coastal Highway Rehoboth Beach DE 19971,38.7234585,-75.1223844
P328484,LIBERTY STEAKS and HOAGIES,1937 MacDade Boulevard Woodlyn PA 19094,39.8706325,-75.3560204
83730104,Outlet Wines,19724 Coastal Hwy Rehoboth Beach DE 19971,38.7165544,-75.1126686
83730421,Wilson Baker - Exxon Shop of Rehoboth,19884 Coastal Hwy Rehoboth Beach DE 19971,38.7146119,-75.1078789
83730523,Heritages #27,199 East Avenue Woodstown NJ 08098,39.6514929,-75.3168247
,Malvern Banking Office ,199 Lancaster Avenue Malvern PA 19355,40.0413776,-75.539179
83730384,Buffalo Wild Wings - Rehoboth Beach,19930 Lighthouse Plaza Rehoboth Beach DE 19971,38.7216196,-75.1195021
N1080697,Walgreen's - Georgetown #11047,"2 College Park Lane, Suite 1 Georgetown DE 19947",38.7023247,-75.4026505
